L2_CODE,Public Services_3_inc,Public Order and Safety_3_inc,Industrial and Economic Affairs_3_inc,Local Government and Rural Development_3_inc,Housing_3_inc,Health_3_inc,Education and Technology_3_inc,Social Security and Welfare_3_inc,Public Services_4_inc,Public Order and Safety_4_inc,Industrial and Economic Affairs_4_inc,Local Government and Rural Development_4_inc,Housing_4_inc,Health_4_inc,Education and Technology_4_inc,Social Security and Welfare_4_inc,Public Services_7_inc,Public Order and Safety_7_inc,Industrial and Economic Affairs_7_inc,Local Government and Rural Development_7_inc,Housing_7_inc,Health_7_inc,Education and Technology_7_inc,Social Security and Welfare_7_inc
4044,-0.195773778,-0.018134232,-0.053042211,-0.02208003,0.018032562,0.078371909,-0.012788026,0.083303683,-0.3870532,0.047461513,2.314344026,0.335088735,0.274814505,0.169129609,0.202133338,0.957490178,0.16792606,-0.372765299,,,-0.267293391,,0.041899328,-0.370357479
4047,-0.19337924,-0.01054458,-0.034810123,-0.029906699,-0.083028718,-0.014351335,-0.018281641,-0.045526505,-0.23124405,0.048809684,-0.198451313,0.264162158,0.08612833,-0.404028484,-0.101151198,0.291425885,-0.132495474,0.057192905,0.327695487,-0.704801209,0.435805858,-0.756149026,-0.488945218,0.026126849
4050,-0.180280907,0.006408176,-0.092961542,0.132545171,-0.065216429,0.107675495,-0.02983688,-0.009918809,-0.330772758,-0.029904067,-0.035467177,0.249473728,-0.093454634,0.447886553,0.214459415,1.458373728,-0.064368175,-0.054591282,,,,,-0.504082525,
4055,-0.118613135,0.020250527,-0.076854916,-0.025490256,-0.054816564,0.06892413,-0.011248988,0.049919868,0.099867844,0.173026261,-0.309054155,0.12386965,-0.256904222,0.107131778,-0.003857349,1.011402558,-0.073191304,0.416375925,,,,,-0.387770325,
4057,-0.121725908,0.015816764,1.185762204,-0.095522165,-0.080916761,0.040390314,0.037445443,-0.096688517,-0.207528529,0.219664182,1.401563999,0.061399769,-0.279924364,0.784779147,0.183314592,0.550129782,-0.14343286,1.228802943,,,0.681504465,,-0.593892777,
4065,-0.097667614,0.049277032,-0.002580847,-0.0931065,-0.047530182,0.037103039,0.00390716,0.011450153,-0.294017085,-0.039446503,-0.763114347,0.353008287,-0.176435294,-0.141013566,0.40382718,0.352928552,-0.392801547,-0.453398052,,,,0.90674039,-0.628242423,
4087,-0.233311723,-0.008283148,-0.052666777,0.097640613,0.010487053,0.097641109,-0.000778408,0.058072664,-0.061444695,-0.047290509,0.152203813,0.242708351,0.252114303,0.599015952,0.110466962,0.459640997,-0.036042444,0.108449154,,-0.529711383,,,-0.194392869,
5010,-0.156765268,-0.013288725,-0.04073563,0.063819482,-0.052331032,-0.0070297,-0.061486154,0.122558126,-0.293741132,0.036744814,0.136622928,-0.020358843,-0.272609376,-0.385610243,-0.041911914,0.188636279,-0.177022471,-0.216386627,-0.155955748,,-0.073191304,3.297992385,-0.362697949,-0.073191304
5038,-0.087868645,-0.007499906,0.063394998,-0.128378682,-0.015223659,-0.038161385,-0.012722296,0.037546937,-0.448388725,0.16235019,0.054513672,0.123867073,0.408737969,-0.17859567,-0.021369736,0.336658401,-0.589472359,-0.378374947,,,,-0.663811151,-0.070206405,
5049,,,,,,,,,,,,,,,,,,,,,,,,
